id,viewCount,likeCount,dislikeCount,commentCount,likeRatio %,commentRatio %
HVHfFHpRu0U,111585,3931,82,541,98.0,0.4848
9FxQZmXchgU,2655,24,2,0,92.3,0.0000
7y_TP9hHeA0,8438,268,3,31,98.9,0.3674
kRGX3X8A9rA,22177,361,10,70,97.3,0.3156
e5OCkPD44FM,26527,305,9,24,97.1,0.0905
KPjPfmrC-Aw,3060,45,1,16,97.8,0.5229
bVldIyi3wIE,517,15,0,1,100.0,0.1934
M9rlYAc9jNE,13249,47,9,20,83.9,0.1510
uhJtv2J9WSo,13077,260,3,35,98.9,0.2676
g6mN3__pj1k,980,18,2,3,90.0,0.3061
KxlKibsyN0I,3024,86,6,19,93.5,0.6283
Q0azW8XZ6lE,1321,99,3,28,97.1,2.1196
U6wiprVraSc,136805,929,26,168,97.3,0.1228
k6aA1QCEg6w,3114,134,2,24,98.5,0.7707
_MNicJ5bizk,7393,12,46,31,20.7,0.4193
fwlYUrdBc7U,86701,258,16,121,94.2,0.1396
UcQyANx4mYo,194,9,0,22,100.0,11.3402
kxB6-fB9kKM,7953,228,6,34,97.4,0.4275
JSOByVQTsMY,194831,4721,71,255,98.5,0.1309
yZX5m1fNe7s,54670,163,26,24,86.2,0.0439
OXlOqx4OQsE,3534,150,2,23,98.7,0.6508
nTX5ujMK864,4665,206,5,17,97.6,0.3644
qmF_xo5YKN0,668975,12016,562,483,95.5,0.0722
XGzDkRi0JbE,3091,102,2,28,98.1,0.9059
xHNJahvINwQ,201769,5014,180,196,96.5,0.0971
geYr661VLJk,53,1,0,2,100.0,3.7736
C_VrMDIUCiE,2820,168,1,52,99.4,1.8440
2XUa77FBRos,29202,113,8,0,93.4,0.0000
SIYVjfdzP_Q,158082,3314,277,169,92.3,0.1069
G6wncFEr3x0,6482,708,2,177,99.7,2.7306
R3nsI3ZF0Vs,658,13,0,8,100.0,1.2158
mRnTvHrwMMI,79255,641,92,74,87.4,0.0934
HPcPgkstKRI,64564,165,37,49,81.7,0.0759
xZrrpdJO-WQ,51054,1718,37,158,97.9,0.3095
iPEMnov_zHs,7967,135,15,11,90.0,0.1381
