id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
k5-L_urVP00,27030,366.0,79.0,0,28.0
Ok7JGU9qpww,2478,83.0,3.0,0,36.0
Rr_ukvCpV2U,155295,5541.0,33.0,0,374.0
0JWRREBVGYc,247797,6270.0,278.0,0,274.0
91vygo7zHd4,2408,123.0,5.0,0,40.0
oIvprjWTwWU,214446,6261.0,213.0,0,342.0
sl5yB6R3fRw,10446,779.0,20.0,0,99.0
gsx8dN-guz8,2505,101.0,0.0,0,14.0
_IrdIDsc_P0,384201,11651.0,165.0,0,1504.0
7IwHRPK0iuU,14807,1595.0,19.0,0,206.0
sZUw9WPaH1k,46154,1536.0,25.0,0,182.0
xBUY3VD0LqU,12983,471.0,10.0,0,39.0
Mopu0Zoi6BA,9218,120.0,4.0,0,27.0
DI8x7g96wso,17600,609.0,24.0,0,76.0
vD2nJZWT03s,241,9.0,0.0,0,1.0
NgUKx8byIMw,38568,2400.0,35.0,0,115.0
-bBohFZpr88,3951,216.0,3.0,0,37.0
66uauaqEzyE,4756,39.0,5.0,0,2.0
opqjFxLq3rs,623,26.0,2.0,0,5.0
mJCYEEi5SQc,7951,400.0,5.0,0,49.0
DyKvz5dT0EI,591,61.0,0.0,0,30.0
jsTd1ol2Zdc,42315,228.0,13.0,0,36.0
HASd6ga2ivo,4102,105.0,3.0,0,14.0
7KW8KbEHF_w,415256,24054.0,279.0,0,667.0
lRXUefHUYUA,3392,168.0,4.0,0,25.0
vn9cR1Molg8,74617,912.0,22.0,0,199.0
F-oF8kwcqxg,1934,77.0,0.0,0,32.0
HT4CTEjEBi8,81844,1904.0,296.0,0,177.0
aBU4LD2JGwA,167234,4029.0,105.0,0,384.0
2mmKWbfzEBQ,2165,11.0,0.0,0,6.0
6ccm95Gdf7E,81405,681.0,28.0,0,96.0
k6aA1QCEg6w,3020,132.0,2.0,0,24.0
P2gqpOfonb0,240,6.0,0.0,0,3.0
y9Yb0sdVh0M,1945,83.0,6.0,0,14.0
CZslz7gNVgw,3049,106.0,4.0,0,38.0
cJBaGhyWR5o,34,5.0,0.0,0,0.0
kr0UcFunQi0,37362,1252.0,12.0,0,49.0
gW0xUjaV84M,391301,2835.0,212.0,0,505.0
e001DK7bCMw,59760,588.0,26.0,0,50.0
sCUXau4sQE4,162823,624.0,23.0,0,140.0
hXY2V22NU90,316499,310.0,53.0,0,155.0
RSL37E3skRQ,81690,152.0,47.0,0,107.0
3NJwutyQIKo,22314,723.0,13.0,0,36.0
xuZMPhnoTko,4012,181.0,1.0,0,17.0
zyBYg6Gqp2o,47514,1293.0,136.0,0,151.0
fW0Skr8SuyQ,36045,1046.0,18.0,0,32.0
sysPtdqMidk,1135,68.0,0.0,0,45.0
ndn-ohS51u4,114,3.0,0.0,0,0.0
24tZ7uowPpM,114,7.0,0.0,0,0.0
OXlOqx4OQsE,2697,138.0,2.0,0,23.0
yi0J9JsRdI4,1183730,48946.0,443.0,0,1745.0
DCfOfkLgKdc,4489,105.0,4.0,0,6.0
Kx4dBTyJiz8,1045,57.0,3.0,0,24.0
PUlECH_sXsc,62434,688.0,88.0,0,51.0
oNCuo0_YU4w,4120,21.0,3.0,0,15.0
GeWA6AZ1XvM,144021,1380.0,44.0,0,154.0
L3puO8Q8fBY,90408,2689.0,53.0,0,192.0
rQOkvwohGyk,90755,592.0,38.0,0,72.0
TG5vqXdlKfs,6135,412.0,2.0,0,107.0
41VeJREZsN4,9782,203.0,37.0,0,41.0
PEzkmKTyHYw,120369,3518.0,98.0,0,184.0
p09_eE36DZ8,63350,488.0,61.0,0,40.0
coESCk5hdjU,139586,2363.0,222.0,0,138.0
EbraZ5-m6ZQ,37528,990.0,16.0,0,41.0
OcIKMy66mkc,69768,479.0,31.0,0,30.0
dU3j9VkKXtA,96575,3254.0,79.0,0,142.0
Vvb0TXeE6w8,48,7.0,0.0,0,2.0
dn9obZ0rcIE,4652,113.0,7.0,0,16.0
U0gRbaNGFFw,8469,98.0,96.0,0,13.0
aM3VYFuuY0w,109,9.0,0.0,0,3.0
SyGtLMHr23Q,20,7.0,0.0,0,2.0
QwFu4jz1k7k,75685,1762.0,76.0,0,110.0
fe9IKeYnZ04,27114,882.0,47.0,0,59.0
hWuQ9ieHlfA,41317,113.0,14.0,0,
CfIcxvPxkzo,69280,2648.0,21.0,0,268.0
3W2XTGMj8aw,23097,1747.0,39.0,0,174.0
M9rlYAc9jNE,13249,47.0,9.0,0,20.0
rPaunY6h98w,9589,854.0,3.0,0,79.0
fSrBirMrVOQ,7110,415.0,3.0,0,36.0
eUxgphuHPMU,33976,1829.0,34.0,0,176.0
JKKNiwN9t4U,116034,2624.0,12.0,0,129.0
-jpZmrqMLlY,134009,3189.0,140.0,0,300.0
CY1VWff2cZ8,37759,1270.0,37.0,0,58.0
Jet-NpGl0ds,2498,130.0,4.0,0,19.0
qhna7SC7kuo,1805806,99135.0,1723.0,0,3646.0
ZmCIzHKuq6A,1816,112.0,1.0,0,16.0
P_Exkej4BeE,143458,4392.0,90.0,0,231.0
