id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
azSXoNRiPhY,120943,5415.0,96.0,0,298.0
K5Kpw0Nn7Sg,117976,1910.0,63.0,0,134.0
feSXBJt3wno,274,30.0,1.0,0,42.0
ls_exrEJ3NQ,22493,200.0,4.0,0,20.0
0L8Bo689Bvg,309759,4781.0,97.0,0,666.0
gp0nnTZasz8,77377,2121.0,59.0,0,128.0
OdZbimP_m_0,63655,713.0,28.0,0,122.0
svIYUS3RUro,370,77.0,0.0,0,38.0
BXxLbJn4FYw,76205,311.0,41.0,0,70.0
yv-fkhrNQS4,250,6.0,0.0,0,2.0
_JKEfJGhubc,22626,268.0,36.0,0,34.0
m-2JxTwWzEE,59032,1770.0,33.0,0,111.0
-cEFf4285G4,210916,2289.0,223.0,0,335.0
W9hHlbNCU-U,681,21.0,3.0,0,0.0
gDAb_bzsO4c,480,17.0,0.0,0,7.0
z2wza68inF8,2957,35.0,3.0,0,6.0
Loz4LK9HJhE,7148,71.0,4.0,0,18.0
CMavXum1pa8,11486,344.0,9.0,0,46.0
9AS8bxrCY0Q,10009,397.0,33.0,0,20.0
GRF5VxCZ3Hc,84340,1655.0,79.0,0,230.0
EyG-AoUrHb4,1743,16.0,6.0,0,9.0
rZDTeybp1Kg,173302,3492.0,170.0,0,1031.0
1jIfqi78t7A,82,3.0,0.0,0,1.0
UGdCAohSFMA,99116,1018.0,310.0,0,69.0
x4sbIC3FGUs,113501,2670.0,37.0,0,181.0
B9FXuuDSDFw,52,8.0,1.0,0,1.0
v2BYK9rq2UE,29655,163.0,13.0,0,21.0
sMfit4Nstkk,4234,94.0,3.0,0,12.0
0ZOMN3F26hY,1101,74.0,1.0,0,21.0
nz0FKd0cxAE,1423,,,0,17.0
9XVDxttHcdU,17101,84.0,14.0,0,15.0
YoolXjqKwo0,22754,26.0,15.0,0,50.0
Sre0XfSqKJs,2301,79.0,3.0,0,5.0
hJh_OdBnUcE,8450,80.0,1.0,0,9.0
1FiMHSSKLSQ,453,54.0,0.0,0,4.0
I7yMvIKL0F4,27,4.0,0.0,0,1.0
z_ykqKJ4g7A,415120,2793.0,122.0,0,478.0
Oe68vN4YjWA,4382,41.0,10.0,0,3.0
kdyXpgF54_c,71987,647.0,33.0,0,68.0
XxEOphd5aiw,2755,,,0,15.0
vXilxZ5-gwQ,61,7.0,0.0,0,4.0
5yz5RKR8cP0,20053,669.0,17.0,0,51.0
_SVVRVJtjvM,19093,56.0,7.0,0,22.0
uEZ0nSXxVkQ,9320,348.0,33.0,0,39.0
xxCAjTqe430,4,2.0,0.0,0,0.0
kRGX3X8A9rA,22133,358.0,10.0,0,70.0
P2gqpOfonb0,178,8.0,1.0,0,3.0
xoTr7YQ4-CA,17838,42.0,9.0,0,11.0
oSLzXUzhtg4,1921,20.0,7.0,0,2.0
9jSTvKglwIk,44128,1466.0,40.0,0,129.0
CUheOFPgh1k,2586,28.0,3.0,0,3.0
QqEhX4Lh2X4,2974,114.0,3.0,0,10.0
wSkpMLBEwAw,246,5.0,1.0,0,4.0
c3EIJwe21Rk,7385,81.0,5.0,0,20.0
lDHuO5Nf9Q0,15082,137.0,8.0,0,13.0
EjYq7Ldr0ug,9311,536.0,14.0,0,18.0
6BAUcajQo3c,43,4.0,0.0,0,4.0
j_x36zhyIxw,1663,42.0,8.0,0,13.0
dfQKWXihhdk,5715,289.0,7.0,0,43.0
5P7wJiyBDmw,268,25.0,0.0,0,12.0
faUbwzV0IbQ,30849,752.0,23.0,0,160.0
